City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,bethel,41.3712,-73.414,28.44,80,97,0.89,US,1720569655
1,happy valley-goose bay,53.3168,-60.3315,18.17,100,100,1.54,CA,1720569955
2,tura,25.5198,90.2201,24.29,99,100,3.05,IN,1720569783
3,adamstown,-25.066,-130.1015,20.09,58,99,4.65,PN,1720569956
4,daru,-9.0763,143.2092,25.63,82,80,7.16,PG,1720569957
5,egilsstadir,65.2653,-14.3948,12.95,71,0,4.63,IS,1720569851
6,thompson,55.7435,-97.8558,24.09,43,40,2.06,CA,1720569765
7,puerto natales,-51.7236,-72.4875,5.08,83,98,6.79,CL,1720569694
8,kingston,17.997,-76.7936,31.53,66,20,7.2,JM,1720569960
9,bredasdorp,-34.5322,20.0403,11.19,79,87,9.42,ZA,1720569961
10,puerto ayora,-0.7393,-90.3518,20.86,100,80,2.76,EC,1720569961
11,blackmans bay,-43.0167,147.3167,12.07,96,100,2.85,AU,1720569962
12,horta,38.5333,-28.6333,22.79,87,60,0.89,PT,1720569963
13,port-aux-francais,-49.35,70.2167,4.61,86,71,12.32,TF,1720569964
14,gimbi,9.1667,35.8333,11.92,93,56,0.9,ET,1720569965
15,kodiak,57.79,-152.4072,10.73,100,100,3.6,US,1720569965
16,margaret river,-33.95,115.0667,14.54,60,93,11.1,AU,1720569966
17,baardheere,2.3446,42.2764,24.92,78,91,5.56,SO,1720569967
18,road town,18.4167,-64.6167,29.05,79,20,4.12,VG,1720569949
19,qaqortoq,60.7167,-46.0333,4.6,99,100,3.21,GL,1720569968
20,badger,64.8,-147.5333,15.0,86,100,1.44,US,1720569713
21,naze,28.3667,129.4833,28.51,78,41,6.88,JP,1720569970
22,henderson,36.0397,-114.9819,48.71,10,0,5.14,US,1720569813
23,waitangi,-43.9535,-176.5597,8.79,86,94,1.79,NZ,1720569700
24,caleta olivia,-46.4393,-67.5281,2.66,64,50,5.51,AR,1720569972
25,haiku-pauwela,20.9219,-156.3051,29.01,57,40,11.83,US,1720569973
26,paveh,35.0434,46.3565,21.4,32,0,1.13,IR,1720569974
27,sinjai,-5.1241,120.253,25.45,83,100,1.59,ID,1720569974
28,grytviken,-54.2811,-36.5092,-1.3,88,91,4.98,GS,1720569701
29,huarmey,-10.0681,-78.1522,18.04,82,31,4.94,PE,1720569976
30,edinburgh of the seven seas,-37.0676,-12.3116,12.24,79,90,10.29,SH,1720569977
31,kenai,60.5544,-151.2583,17.05,72,100,4.12,US,1720569977
32,ippy,6.2679,21.2247,21.08,99,100,2.56,CF,1720569978
33,kalkaman,51.9525,76.0211,18.7,62,33,2.37,KZ,1720569979
34,eyl,7.9803,49.8164,25.95,82,66,11.62,SO,1720569980
35,stanley,54.868,-1.6985,13.73,96,100,0.56,GB,1720569981
36,argo,37.6333,22.7333,30.44,33,0,3.21,GR,1720569981
37,yatou,37.15,122.3833,27.01,79,86,4.64,CN,1720569982
38,villa gesell,-37.2639,-56.973,2.25,57,39,0.95,AR,1720569983
39,masterton,-40.9597,175.6575,11.6,64,39,0.41,NZ,1720569700
40,tarakan,3.3,117.6333,25.72,94,75,1.03,ID,1720569984
41,salaverry,-8.2333,-78.9667,16.21,87,18,3.9,PE,1720569985
42,kirensk,57.7853,108.1119,23.79,69,84,0.05,RU,1720569986
43,fayetteville,35.0527,-78.8784,32.29,69,0,4.12,US,1720569987
44,muli,2.9167,73.5667,28.43,74,32,2.71,MV,1720569988
45,fort mcmurray,56.7268,-111.381,33.73,31,0,4.12,CA,1720569854
46,benoy,8.9833,16.3199,23.6,87,100,2.75,TD,1720569989
47,lucea,18.451,-78.1736,29.92,82,91,5.73,JM,1720569990
48,praia da vitoria,38.7333,-27.0667,25.14,83,40,5.26,PT,1720569806
